       Step     Time          Energy         fmax
GPMin:    7 15:47:02       -4.259249        0.3646
GPMin:    8 15:47:09       -4.273181        0.2184
GPMin:    9 15:47:21       -4.295656        0.1776
GPMin:   10 15:47:26       -4.319026        0.1689
GPMin:   11 15:47:33       -4.340386        0.1237
GPMin:   12 15:47:38       -4.372491        0.0986
GPMin:   13 15:47:43       -4.389144        0.0893
GPMin:   14 15:47:48       -4.403280        0.0869
GPMin:   15 15:47:53       -4.427794        0.0826
GPMin:   16 15:47:58       -4.446934        0.0862
GPMin:   17 15:48:03       -4.477307        0.0998
GPMin:   18 15:48:08       -4.528192        0.1452
GPMin:   19 15:48:13       -4.582112        0.1607
GPMin:   20 15:48:18       -4.650878        0.1611
GPMin:   21 15:48:23       -4.709937        0.1368
GPMin:   22 15:48:28       -4.753455        0.0820
GPMin:   23 15:48:34       -4.770412        0.0691
GPMin:   24 15:48:38       -4.775604        0.0966
GPMin:   25 15:48:43       -4.792866        0.1024
GPMin:   26 15:48:47       -4.812735        0.0746
GPMin:   27 15:48:52       -4.834060        0.0629
GPMin:   28 15:48:56       -4.855088        0.0694
GPMin:   29 15:49:01       -4.878685        0.0666
GPMin:   30 15:49:06       -4.897183        0.0648
GPMin:   31 15:49:11       -4.910092        0.0639
GPMin:   32 15:49:15       -4.916246        0.0570
GPMin:   33 15:49:19       -4.921661        0.0500
GPMin:   34 15:49:23       -4.927066        0.0303
GPMin:   35 15:49:27       -4.929637        0.0314
GPMin:   36 15:49:31       -4.931567        0.0366
GPMin:   37 15:49:35       -4.932518        0.0294
GPMin:   38 15:49:40       -4.933418        0.0180
       Step     Time          Energy         fmax
GPMin:    0 15:49:49       -4.316540        0.3143
GPMin:    1 15:49:56       -4.474816        0.2898
GPMin:    2 15:50:02       -4.589335        0.2610
GPMin:    3 15:50:08       -4.681519        0.1757
GPMin:    4 15:50:14       -4.729366        0.0876
GPMin:    5 15:50:19       -4.757023        0.0985
GPMin:    6 15:50:24       -4.790709        0.0833
GPMin:    7 15:50:29       -4.826428        0.0713
GPMin:    8 15:50:34       -4.855552        0.0720
GPMin:    9 15:50:39       -4.878708        0.0728
GPMin:   10 15:50:44       -4.900164        0.0576
GPMin:   11 15:50:49       -4.913220        0.0565
GPMin:   12 15:50:53       -4.922994        0.0465
GPMin:   13 15:50:58       -4.929325        0.0250
GPMin:   14 15:51:02       -4.931303        0.0264
GPMin:   15 15:51:07       -4.933139        0.0158
       Step     Time          Energy         fmax
GPMin:    0 15:51:20       -3.837353        0.3897
GPMin:    1 15:51:28       -4.113010        0.4145
GPMin:    2 15:51:34       -4.302053        0.3690
GPMin:    3 15:51:40       -4.440441        0.2696
GPMin:    4 15:51:46       -4.527318        0.1985
GPMin:    5 15:51:51       -4.602807        0.2294
GPMin:    6 15:51:57       -4.663497        0.1868
GPMin:    7 15:52:02       -4.710136        0.1025
GPMin:    8 15:52:07       -4.736183        0.0900
GPMin:    9 15:52:12       -4.752300        0.0905
GPMin:   10 15:52:17       -4.776737        0.0864
GPMin:   11 15:52:22       -4.804271        0.0806
GPMin:   12 15:52:27       -4.829002        0.0723
GPMin:   13 15:52:31       -4.850805        0.0634
GPMin:   14 15:52:36       -4.872417        0.0617
GPMin:   15 15:52:40       -4.892384        0.0555
GPMin:   16 15:52:45       -4.907367        0.0462
GPMin:   17 15:52:49       -4.917423        0.0411
GPMin:   18 15:52:54       -4.924464        0.0438
GPMin:   19 15:52:58       -4.929600        0.0329
GPMin:   20 15:53:03       -4.931946        0.0161
       Step     Time          Energy         fmax
GPMin:    0 15:53:16       -3.466032        0.7256
GPMin:    1 15:53:24       -3.691302        0.2316
GPMin:    2 15:53:31       -3.780078        0.2630
GPMin:    3 15:53:38       -3.894156        0.2890
GPMin:    4 15:53:44       -4.008177        0.2920
GPMin:    5 15:53:50       -4.108639        0.2310
GPMin:    6 15:53:56       -4.161287        0.0983
GPMin:    7 15:54:01       -4.168090        0.0153
       Step     Time          Energy         fmax
GPMin:    0 15:54:14       -3.708374        0.2220
GPMin:    1 15:54:23       -3.776092        0.2108
GPMin:    2 15:54:32       -3.864712        0.1835
GPMin:    3 15:54:39       -3.950001        0.2045
GPMin:    4 15:54:46       -4.006549        0.1954
GPMin:    5 15:54:53       -4.083220        0.1792
GPMin:    6 15:54:59       -4.091504        0.1699
GPMin:    7 15:55:06       -4.117364        0.1299
GPMin:    8 15:55:11       -4.137854        0.1237
GPMin:    9 15:55:18       -4.159989        0.0969
GPMin:   10 15:55:22       -4.167419        0.0867
GPMin:   11 15:55:27       -4.186804        0.0728
GPMin:   12 15:55:42       -4.195152        0.0752
GPMin:   13 15:55:48       -4.251318        0.2630
GPMin:   14 15:55:54       -4.266849        0.3753
GPMin:   15 15:56:00       -4.324088        0.2009
GPMin:   16 15:56:07       -4.366339        0.1526
GPMin:   17 15:56:13       -4.393411        0.1571
GPMin:   18 15:56:19       -4.421164        0.1235
GPMin:   19 15:56:24       -4.437874        0.1162
GPMin:   20 15:56:30       -4.455531        0.1114
GPMin:   21 15:56:36       -4.471456        0.1199
GPMin:   22 15:56:41       -4.505654        0.1136
GPMin:   23 15:56:46       -4.535412        0.1366
GPMin:   24 15:56:51       -4.567626        0.1536
GPMin:   25 15:56:56       -4.606126        0.1637
GPMin:   26 15:57:01       -4.657843        0.1759
GPMin:   27 15:57:07       -4.708253        0.1868
GPMin:   28 15:57:12       -4.771486        0.1976
GPMin:   29 15:57:18       -4.832445        0.1868
GPMin:   30 15:57:24       -4.886256        0.1429
GPMin:   31 15:57:29       -4.916319        0.0679
GPMin:   32 15:57:33       -4.924433        0.0698
GPMin:   33 15:57:38       -4.928218        0.0620
GPMin:   34 15:57:43       -4.931029        0.0372
GPMin:   35 15:57:47       -4.932014        0.0319
GPMin:   36 15:57:51       -4.932857        0.0159
       Step     Time          Energy         fmax
GPMin:    0 15:58:00       -4.060225        0.3808
GPMin:    1 15:58:07       -4.154124        0.1783
GPMin:    2 15:58:12       -4.178734        0.1114
GPMin:    3 15:58:18       -4.215058        0.0951
GPMin:    4 15:58:23       -4.256752        0.1238
GPMin:    5 15:58:28       -4.311840        0.1430
GPMin:    6 15:58:33       -4.384341        0.1727
GPMin:    7 15:58:38       -4.474406        0.1817
GPMin:    8 15:58:43       -4.566340        0.1690
GPMin:    9 15:58:49       -4.648328        0.1346
GPMin:   10 15:58:55       -4.701711        0.0952
GPMin:   11 15:59:00       -4.728196        0.0802
GPMin:   12 15:59:05       -4.737736        0.0769
GPMin:   13 15:59:09       -4.748023        0.0618
GPMin:   14 15:59:14       -4.761536        0.0564
GPMin:   15 15:59:18       -4.771137        0.0435
GPMin:   16 15:59:23       -4.779434        0.0379
GPMin:   17 15:59:27       -4.784763        0.0334
GPMin:   18 15:59:32       -4.788722        0.0174
       Step     Time          Energy         fmax
GPMin:    0 15:59:46       -3.830859        0.4173
GPMin:    1 15:59:54       -4.062762        0.4111
GPMin:    2 16:00:00       -4.238231        0.3426
GPMin:    3 16:00:05       -4.347775        0.2383
GPMin:    4 16:00:11       -4.403810        0.2218
GPMin:    5 16:00:17       -4.473933        0.2340
GPMin:    6 16:00:22       -4.513379        0.2516
GPMin:    7 16:00:27       -4.585895        0.2645
GPMin:    8 16:00:33       -4.672674        0.2348
GPMin:    9 16:00:39       -4.731159        0.1664
GPMin:   10 16:00:44       -4.759427        0.1192
GPMin:   11 16:00:49       -4.781379        0.1132
GPMin:   12 16:00:54       -4.808124        0.0929
GPMin:   13 16:00:58       -4.836053        0.0950
GPMin:   14 16:01:03       -4.863230        0.0720
GPMin:   15 16:01:08       -4.880406        0.0668
GPMin:   16 16:01:13       -4.891089        0.0819
GPMin:   17 16:01:18       -4.904183        0.0621
GPMin:   18 16:01:23       -4.913235        0.0484
GPMin:   19 16:01:27       -4.918302        0.0564
GPMin:   20 16:01:32       -4.925394        0.0431
GPMin:   21 16:01:37       -4.928910        0.0321
GPMin:   22 16:01:40       -4.930639        0.0277
GPMin:   23 16:01:45       -4.932172        0.0271
GPMin:   24 16:01:49       -4.932750        0.0192
       Step     Time          Energy         fmax
GPMin:    0 16:02:01       -3.912698        0.7812
GPMin:    1 16:02:08       -4.204193        0.2310
GPMin:    2 16:02:14       -4.256995        0.1578
GPMin:    3 16:02:20       -4.306720        0.1807
GPMin:    4 16:02:25       -4.361161        0.2212
GPMin:    5 16:02:31       -4.433646        0.2550
GPMin:    6 16:02:37       -4.515686        0.2711
GPMin:    7 16:02:42       -4.614238        0.2547
GPMin:    8 16:02:48       -4.681177        0.1987
GPMin:    9 16:02:54       -4.722013        0.1086
GPMin:   10 16:02:59       -4.741495        0.0660
GPMin:   11 16:03:03       -4.749578        0.0694
GPMin:   12 16:03:08       -4.760914        0.0534
GPMin:   13 16:03:12       -4.771043        0.0477
GPMin:   14 16:03:17       -4.777569        0.0326
GPMin:   15 16:03:21       -4.781724        0.0281
