       Step     Time          Energy         fmax
GPMin:   17 14:45:13       -4.654902        0.2054
GPMin:   18 14:45:18       -4.679063        0.1967
GPMin:   19 14:45:24       -4.799784        0.1042
GPMin:   20 14:45:30       -4.830297        0.1041
GPMin:   21 14:45:35       -4.841311        0.0929
GPMin:   22 14:45:39       -4.853973        0.0870
GPMin:   23 14:45:44       -4.862960        0.0644
GPMin:   24 14:45:48       -4.869517        0.0555
GPMin:   25 14:45:53       -4.875990        0.0573
GPMin:   26 14:45:58       -4.881901        0.0416
GPMin:   27 14:46:02       -4.885122        0.0281
GPMin:   28 14:46:07       -4.886348        0.0301
GPMin:   29 14:46:11       -4.888429        0.0366
GPMin:   30 14:46:15       -4.888950        0.0292
GPMin:   31 14:46:20       -4.889441        0.0193
       Step     Time          Energy         fmax
GPMin:    0 14:46:29       -3.229862        1.3088
GPMin:    1 14:46:37       -3.936556        0.6009
GPMin:    2 14:46:43       -4.194372        0.3020
GPMin:    3 14:46:49       -4.290075        0.1939
GPMin:    4 14:46:54       -4.320701        0.1778
GPMin:    5 14:47:01       -4.386106        0.1866
GPMin:    6 14:47:05       -4.397487        0.1875
GPMin:    7 14:47:12       -4.501269        0.1940
GPMin:    8 14:47:18       -4.512462        0.2382
GPMin:    9 14:47:29       -4.526722        0.2097
GPMin:   10 14:47:36       -4.630035        0.1540
GPMin:   11 14:47:41       -4.656969        0.2112
GPMin:   12 14:47:46       -4.669596        0.1875
GPMin:   13 14:47:51       -4.709486        0.1384
GPMin:   14 14:47:57       -4.733079        0.1109
GPMin:   15 14:48:02       -4.754716        0.1270
GPMin:   16 14:48:07       -4.779926        0.1228
GPMin:   17 14:48:12       -4.809623        0.1097
GPMin:   18 14:48:17       -4.839613        0.0979
GPMin:   19 14:48:22       -4.866294        0.0852
GPMin:   20 14:48:27       -4.886982        0.0803
GPMin:   21 14:48:32       -4.901869        0.0604
GPMin:   22 14:48:37       -4.912336        0.0543
GPMin:   23 14:48:41       -4.918845        0.0472
GPMin:   24 14:48:46       -4.922537        0.0353
GPMin:   25 14:48:50       -4.926108        0.0437
GPMin:   26 14:48:55       -4.928512        0.0340
GPMin:   27 14:48:59       -4.931154        0.0345
GPMin:   28 14:49:03       -4.931773        0.0282
GPMin:   29 14:49:07       -4.933132        0.0233
GPMin:   30 14:49:11       -4.933354        0.0137
       Step     Time          Energy         fmax
GPMin:    0 14:49:20       -3.174466        1.3459
GPMin:    1 14:49:25       -4.013991        0.6002
GPMin:    2 14:49:31       -4.290498        0.2562
GPMin:    3 14:49:36       -4.356235        0.0984
GPMin:    4 14:49:41       -4.365661        0.1255
GPMin:    5 14:49:46       -4.378920        0.1065
GPMin:    6 14:50:05       -4.403206        0.1114
GPMin:    7 14:50:17       -4.408170        0.1094
GPMin:    8 14:50:29       -4.415545        0.1705
GPMin:    9 14:50:35       -4.427319        0.0908
GPMin:   10 14:50:39       -4.432050        0.0891
GPMin:   11 14:50:45       -4.460481        0.0565
GPMin:   12 14:50:50       -4.463659        0.0731
GPMin:   13 14:50:55       -4.471007        0.1031
GPMin:   14 14:51:00       -4.487484        0.1424
GPMin:   15 14:51:05       -4.502510        0.1637
GPMin:   16 14:51:11       -4.580211        0.2364
GPMin:   17 14:51:16       -4.605031        0.2235
GPMin:   18 14:51:23       -4.733846        0.1526
GPMin:   19 14:51:28       -4.774476        0.1966
GPMin:   20 14:51:39       -4.807224        0.3039
GPMin:   21 14:51:44       -4.853366        0.1158
GPMin:   22 14:51:48       -4.865398        0.0669
GPMin:   23 14:51:53       -4.867999        0.0702
GPMin:   24 14:51:58       -4.878599        0.0431
GPMin:   25 14:52:02       -4.883280        0.0307
GPMin:   26 14:52:07       -4.884763        0.0254
GPMin:   27 14:52:12       -4.886465        0.0265
GPMin:   28 14:52:15       -4.887691        0.0268
GPMin:   29 14:52:20       -4.889676        0.0168
       Step     Time          Energy         fmax
GPMin:    0 14:52:29       -3.184344        1.3211
GPMin:    1 14:52:35       -3.977521        0.6207
GPMin:    2 14:52:41       -4.264796        0.3174
GPMin:    3 14:52:47       -4.367926        0.2028
GPMin:    4 14:52:53       -4.398482        0.2011
GPMin:    5 14:52:59       -4.480939        0.1884
GPMin:    6 14:53:04       -4.488291        0.1749
GPMin:    7 14:53:09       -4.493680        0.1653
GPMin:    8 14:53:15       -4.521546        0.3133
GPMin:    9 14:53:21       -4.543746        0.1232
GPMin:   10 14:53:26       -4.558121        0.1321
GPMin:   11 14:53:31       -4.578082        0.1077
GPMin:   12 14:53:36       -4.594823        0.0977
