       Step     Time          Energy         fmax
GPMin:    0 10:28:15       -4.942257        1.4735
GPMin:    1 10:28:22       -6.039052        0.7831
GPMin:    2 10:28:28       -6.517647        0.4188
GPMin:    3 10:28:35       -6.735706        0.2318
GPMin:    4 10:28:41       -6.814118        0.1464
GPMin:    5 10:28:47       -6.831506        0.0999
GPMin:    6 10:28:53       -6.837019        0.0827
GPMin:    7 10:28:58       -6.855299        0.0855
GPMin:    8 10:29:03       -6.872592        0.0949
GPMin:    9 10:29:08       -6.890505        0.1121
GPMin:   10 10:29:14       -6.910883        0.1210
GPMin:   11 10:29:20       -6.937159        0.1250
GPMin:   12 10:29:26       -6.967206        0.1179
GPMin:   13 10:29:32       -7.003841        0.1061
GPMin:   14 10:29:37       -7.040558        0.1221
GPMin:   15 10:29:43       -7.085450        0.1339
GPMin:   16 10:29:49       -7.128751        0.1341
GPMin:   17 10:29:55       -7.169794        0.1101
GPMin:   18 10:30:01       -7.198747        0.0638
GPMin:   19 10:30:06       -7.210815        0.0514
GPMin:   20 10:30:11       -7.213351        0.0435
GPMin:   21 10:30:16       -7.215311        0.0364
GPMin:   22 10:30:21       -7.217026        0.0187
       Step     Time          Energy         fmax
GPMin:    0 10:30:31       -5.114695        1.6592
GPMin:    1 10:30:39       -6.275990        0.8845
GPMin:    2 10:30:45       -6.788670        0.4883
GPMin:    3 10:30:52       -7.024179        0.2682
GPMin:    4 10:30:58       -7.106971        0.1351
GPMin:    5 10:31:04       -7.122092        0.0735
GPMin:    6 10:31:10       -7.124949        0.0531
GPMin:    7 10:31:15       -7.132941        0.0413
GPMin:    8 10:31:21       -7.136655        0.0362
GPMin:    9 10:31:26       -7.138249        0.0377
GPMin:   10 10:31:32       -7.140379        0.0235
GPMin:   11 10:31:37       -7.140766        0.0205
GPMin:   12 10:31:41       -7.140976        0.0156
       Step     Time          Energy         fmax
GPMin:    0 10:31:51       -5.385361        1.3617
GPMin:    1 10:31:57       -6.502836        0.7534
GPMin:    2 10:32:04       -6.993345        0.4109
GPMin:    3 10:32:09       -7.209198        0.1908
GPMin:    4 10:32:14       -7.273513        0.0551
GPMin:    5 10:32:19       -7.278544        0.0253
GPMin:    6 10:32:23       -7.278839        0.0254
GPMin:    7 10:32:29       -7.280698        0.0100
       Step     Time          Energy         fmax
GPMin:    0 10:32:40       -5.121122        1.6529
GPMin:    1 10:32:48       -6.279945        0.8808
GPMin:    2 10:32:55       -6.791680        0.4885
GPMin:    3 10:33:01       -7.025990        0.2679
GPMin:    4 10:33:08       -7.107700        0.1361
GPMin:    5 10:33:14       -7.122773        0.0719
GPMin:    6 10:33:20       -7.125338        0.0540
GPMin:    7 10:33:26       -7.133533        0.0396
GPMin:    8 10:33:31       -7.137009        0.0382
GPMin:    9 10:33:36       -7.138593        0.0388
GPMin:   10 10:33:42       -7.140660        0.0225
GPMin:   11 10:33:46       -7.141052        0.0204
GPMin:   12 10:33:51       -7.141240        0.0159
       Step     Time          Energy         fmax
GPMin:    0 10:34:02       -5.392579        1.3566
GPMin:    1 10:34:07       -6.506865        0.7500
GPMin:    2 10:34:13       -6.994965        0.4085
GPMin:    3 10:34:18       -7.210020        0.1880
GPMin:    4 10:34:24       -7.273447        0.0539
GPMin:    5 10:34:28       -7.278323        0.0245
GPMin:    6 10:34:33       -7.278639        0.0247
GPMin:    7 10:34:38       -7.280639        0.0104
       Step     Time          Energy         fmax
GPMin:    0 10:34:49       -4.615862        1.4325
GPMin:    1 10:34:56       -5.760489        0.7980
GPMin:    2 10:35:03       -6.272050        0.4594
GPMin:    3 10:35:09       -6.504825        0.2655
GPMin:    4 10:35:15       -6.580743        0.1847
GPMin:    5 10:35:21       -6.629536        0.1475
GPMin:    6 10:35:26       -6.640182        0.1081
GPMin:    7 10:35:30       -6.644224        0.1089
GPMin:    8 10:35:44       -6.686276        0.2040
GPMin:    9 10:35:48       -6.712109        0.1698
GPMin:   10 10:35:54       -6.740084        0.0991
GPMin:   11 10:35:58       -6.754440        0.0722
GPMin:   12 10:36:03       -6.771357        0.0524
GPMin:   13 10:36:08       -6.782051        0.0495
GPMin:   14 10:36:14       -6.810920        0.0601
GPMin:   15 10:36:20       -6.823457        0.0627
GPMin:   16 10:36:25       -6.827975        0.0592
GPMin:   17 10:36:30       -6.835877        0.0437
GPMin:   18 10:36:35       -6.841657        0.0230
GPMin:   19 10:36:40       -6.843337        0.0192
       Step     Time          Energy         fmax
GPMin:    0 10:36:50       -5.223476        1.4363
GPMin:    1 10:36:57       -6.261288        0.7639
GPMin:    2 10:37:04       -6.714923        0.4227
GPMin:    3 10:37:10       -6.920130        0.2270
GPMin:    4 10:37:17       -6.990947        0.1138
GPMin:    5 10:37:23       -7.004981        0.0944
GPMin:    6 10:37:28       -7.010327        0.1075
GPMin:    7 10:37:34       -7.031888        0.1041
GPMin:    8 10:37:39       -7.053758        0.0885
GPMin:    9 10:37:44       -7.075986        0.0667
GPMin:   10 10:37:49       -7.091220        0.0568
GPMin:   11 10:37:54       -7.100957        0.0408
GPMin:   12 10:38:00       -7.105689        0.0315
GPMin:   13 10:38:05       -7.107774        0.0312
GPMin:   14 10:38:10       -7.108927        0.0269
GPMin:   15 10:38:15       -7.110057        0.0236
GPMin:   16 10:38:20       -7.110654        0.0179
       Step     Time          Energy         fmax
GPMin:    0 10:38:32       -4.419026        1.4679
GPMin:    1 10:38:40       -5.565391        0.8122
GPMin:    2 10:38:48       -6.079070        0.4717
GPMin:    3 10:38:55       -6.308578        0.3041
GPMin:    4 10:39:01       -6.383685        0.2402
GPMin:    5 10:39:09       -6.496842        0.2109
GPMin:    6 10:39:15       -6.511104        0.1693
GPMin:    7 10:39:23       -6.564358        0.2488
GPMin:    8 10:39:30       -6.575881        0.2756
GPMin:    9 10:39:36       -6.598440        0.2775
GPMin:   10 10:39:42       -6.655779        0.2590
GPMin:   11 10:39:47       -6.756681        0.2234
GPMin:   12 10:39:52       -6.859122        0.2275
GPMin:   13 10:39:57       -6.952340        0.2217
GPMin:   14 10:40:03       -7.031105        0.1982
GPMin:   15 10:40:08       -7.088366        0.1594
GPMin:   16 10:40:13       -7.131871        0.1395
GPMin:   17 10:40:18       -7.165943        0.1356
GPMin:   18 10:40:24       -7.192202        0.1117
GPMin:   19 10:40:29       -7.210907        0.0783
GPMin:   20 10:40:34       -7.223082        0.0539
GPMin:   21 10:40:40       -7.230340        0.0492
GPMin:   22 10:40:45       -7.234192        0.0436
GPMin:   23 10:40:50       -7.236241        0.0339
GPMin:   24 10:40:55       -7.237854        0.0299
GPMin:   25 10:41:00       -7.238846        0.0234
GPMin:   26 10:41:05       -7.239324        0.0149
       Step     Time          Energy         fmax
GPMin:    0 10:41:15       -5.123234        1.6559
GPMin:    1 10:41:22       -6.280436        0.8845
GPMin:    2 10:41:29       -6.791910        0.4879
GPMin:    3 10:41:35       -7.025504        0.2670
GPMin:    4 10:41:42       -7.107150        0.1330
GPMin:    5 10:41:47       -7.122173        0.0693
GPMin:    6 10:41:53       -7.124660        0.0538
GPMin:    7 10:41:59       -7.133350        0.0395
GPMin:    8 10:42:04       -7.136933        0.0391
GPMin:    9 10:42:09       -7.138549        0.0389
GPMin:   10 10:42:14       -7.140547        0.0209
GPMin:   11 10:42:18       -7.141017        0.0189
       Step     Time          Energy         fmax
GPMin:    0 10:42:29       -5.121574        1.6533
GPMin:    1 10:42:36       -6.280045        0.8806
GPMin:    2 10:42:42       -6.791757        0.4875
GPMin:    3 10:42:49       -7.026178        0.2678
GPMin:    4 10:42:55       -7.107951        0.1347
GPMin:    5 10:43:01       -7.122628        0.0721
GPMin:    6 10:43:07       -7.125190        0.0533
GPMin:    7 10:43:13       -7.133356        0.0383
GPMin:    8 10:43:18       -7.136733        0.0362
GPMin:    9 10:43:23       -7.138409        0.0366
GPMin:   10 10:43:29       -7.140425        0.0238
GPMin:   11 10:43:34       -7.140828        0.0203
GPMin:   12 10:43:39       -7.141046        0.0155
       Step     Time          Energy         fmax
GPMin:    0 10:43:52       -4.680384        1.3819
GPMin:    1 10:44:01       -5.642179        0.7374
GPMin:    2 10:44:08       -6.059668        0.4266
GPMin:    3 10:44:15       -6.248027        0.2817
GPMin:    4 10:44:21       -6.311011        0.2315
GPMin:    5 10:44:29       -6.328865        0.2154
GPMin:    6 10:44:35       -6.359400        0.1719
GPMin:    7 10:44:40       -6.364358        0.1710
GPMin:    8 10:44:56       -6.496763        0.1993
GPMin:    9 10:45:02       -6.522769        0.2014
GPMin:   10 10:45:09       -6.563597        0.1839
GPMin:   11 10:45:15       -6.591687        0.1927
GPMin:   12 10:45:21       -6.614305        0.1826
GPMin:   13 10:45:27       -6.655117        0.2392
GPMin:   14 10:45:40       -6.661550        0.2575
GPMin:   15 10:45:46       -6.719590        0.1775
GPMin:   16 10:45:51       -6.732283        0.1729
GPMin:   17 10:45:56       -6.768611        0.1494
GPMin:   18 10:46:02       -6.812088        0.1222
GPMin:   19 10:46:08       -6.847044        0.1184
GPMin:   20 10:46:14       -6.881006        0.1216
GPMin:   21 10:46:19       -6.913897        0.1171
GPMin:   22 10:46:25       -6.953155        0.1186
GPMin:   23 10:46:31       -6.992523        0.1233
GPMin:   24 10:46:37       -7.023810        0.1046
GPMin:   25 10:46:44       -7.045824        0.0788
