      Step     Time          Energy         fmax
BFGS:    0 10:24:34       20.676821       41.6163
BFGS:    1 10:24:34        0.887987       12.6067
BFGS:    2 10:24:34       -3.252682        5.3086
BFGS:    3 10:24:34       -4.904452        3.1092
BFGS:    4 10:24:34       -5.722632        1.4181
BFGS:    5 10:24:34       -5.944776        0.8261
BFGS:    6 10:24:34       -6.004262        0.6951
BFGS:    7 10:24:34       -6.030084        0.7084
BFGS:    8 10:24:34       -6.069796        0.7926
BFGS:    9 10:24:34       -6.148487        0.9416
BFGS:   10 10:24:34       -6.233758        0.8225
BFGS:   11 10:24:34       -6.297038        0.8559
BFGS:   12 10:24:34       -6.389093        0.7089
BFGS:   13 10:24:34       -6.434831        0.6076
BFGS:   14 10:24:34       -6.455068        0.5331
BFGS:   15 10:24:34       -6.514891        0.7601
BFGS:   16 10:24:34       -6.549095        0.7445
BFGS:   17 10:24:34       -6.593237        0.5604
BFGS:   18 10:24:34       -6.672901        0.7396
BFGS:   19 10:24:34       -6.717111        1.0751
BFGS:   20 10:24:34       -6.790448        1.5236
BFGS:   21 10:24:34       -6.857538        0.9415
BFGS:   22 10:24:34       -6.935678        0.6822
BFGS:   23 10:24:34       -6.985732        0.5057
BFGS:   24 10:24:34       -7.031243        0.7779
BFGS:   25 10:24:34       -7.075788        0.6898
BFGS:   26 10:24:34       -7.143607        0.7834
BFGS:   27 10:24:34       -7.235959        0.6237
BFGS:   28 10:24:34       -7.294157        0.7470
BFGS:   29 10:24:34       -7.317574        0.6670
BFGS:   30 10:24:34       -7.357264        0.5689
BFGS:   31 10:24:34       -7.435306        0.5007
BFGS:   32 10:24:34       -7.454000        0.2560
BFGS:   33 10:24:34       -7.464717        0.2270
BFGS:   34 10:24:34       -7.474892        0.2799
BFGS:   35 10:24:34       -7.484544        0.3141
BFGS:   36 10:24:34       -7.516318        0.3257
BFGS:   37 10:24:34       -7.534208        0.4408
BFGS:   38 10:24:34       -7.557127        0.6013
BFGS:   39 10:24:34       -7.607582        0.7631
BFGS:   40 10:24:34       -7.674645        0.8995
BFGS:   41 10:24:34       -7.736101        1.0934
BFGS:   42 10:24:34       -7.764901        0.9649
BFGS:   43 10:24:34       -7.810224        0.9387
BFGS:   44 10:24:34       -7.839174        0.8051
BFGS:   45 10:24:34       -7.893870        0.5537
BFGS:   46 10:24:34       -7.938921        0.6012
BFGS:   47 10:24:34       -8.010388        0.7567
BFGS:   48 10:24:35       -8.055187        0.5282
BFGS:   49 10:24:35       -8.112627        0.5182
BFGS:   50 10:24:35       -8.147965        0.3937
BFGS:   51 10:24:35       -8.181085        0.3987
BFGS:   52 10:24:35       -8.203678        0.4044
BFGS:   53 10:24:35       -8.217225        0.3965
BFGS:   54 10:24:35       -8.250003        0.5909
BFGS:   55 10:24:35       -8.271161        0.6046
BFGS:   56 10:24:35       -8.315575        0.4399
BFGS:   57 10:24:35       -8.332325        0.3347
BFGS:   58 10:24:35       -8.347850        0.3422
BFGS:   59 10:24:35       -8.354787        0.3649
BFGS:   60 10:24:35       -8.368350        0.3503
BFGS:   61 10:24:35       -8.392933        0.3547
BFGS:   62 10:24:35       -8.430979        0.4489
BFGS:   63 10:24:35       -8.483917        0.4882
BFGS:   64 10:24:35       -8.509206        0.4462
BFGS:   65 10:24:35       -8.534276        0.5040
BFGS:   66 10:24:35       -8.549277        0.4443
BFGS:   67 10:24:35       -8.573142        0.3360
BFGS:   68 10:24:35       -8.594270        0.2214
BFGS:   69 10:24:35       -8.597754        0.1653
BFGS:   70 10:24:35       -8.600059        0.1411
BFGS:   71 10:24:35       -8.603111        0.1646
BFGS:   72 10:24:35       -8.607988        0.1469
BFGS:   73 10:24:35       -8.613589        0.1949
BFGS:   74 10:24:35       -8.618157        0.2127
BFGS:   75 10:24:35       -8.622696        0.2071
BFGS:   76 10:24:35       -8.628503        0.2043
BFGS:   77 10:24:35       -8.633854        0.1485
BFGS:   78 10:24:35       -8.636794        0.0646
BFGS:   79 10:24:35       -8.637450        0.0272
      Step     Time          Energy         fmax
BFGS:    0 10:24:35       18.821347       40.9983
BFGS:    1 10:24:35        1.445267       17.3968
BFGS:    2 10:24:35       -2.901804        8.4432
BFGS:    3 10:24:35       -4.964991        3.4385
BFGS:    4 10:24:35       -5.500306        1.9388
BFGS:    5 10:24:35       -5.798698        0.7963
BFGS:    6 10:24:35       -5.867112        0.5351
BFGS:    7 10:24:35       -5.897216        0.5437
BFGS:    8 10:24:35       -5.928327        0.5797
BFGS:    9 10:24:35       -5.975151        0.6373
BFGS:   10 10:24:35       -6.024834        0.6756
BFGS:   11 10:24:35       -6.066680        0.7537
BFGS:   12 10:24:35       -6.112471        0.7390
BFGS:   13 10:24:35       -6.166655        0.6940
BFGS:   14 10:24:35       -6.208228        0.5089
BFGS:   15 10:24:35       -6.224887        0.2942
BFGS:   16 10:24:35       -6.234227        0.4091
BFGS:   17 10:24:35       -6.246101        0.2939
BFGS:   18 10:24:35       -6.265562        0.3405
BFGS:   19 10:24:35       -6.299508        0.5417
BFGS:   20 10:24:35       -6.317332        0.5904
BFGS:   21 10:24:35       -6.340862        0.5303
BFGS:   22 10:24:35       -6.375312        0.6133
BFGS:   23 10:24:35       -6.441779        0.8342
BFGS:   24 10:24:35       -6.534233        1.4435
BFGS:   25 10:24:35       -6.596459        2.2389
BFGS:   26 10:24:35       -6.717579        1.2899
BFGS:   27 10:24:35       -6.808273        0.8214
BFGS:   28 10:24:35       -6.922629        1.0703
