       Step     Time          Energy         fmax
GPMin:    1 11:36:34       -7.180237        0.1072
GPMin:    2 11:36:40       -7.208067        0.1148
GPMin:    3 11:36:46       -7.240745        0.0575
GPMin:    4 11:36:51       -7.255805        0.0456
GPMin:    5 11:36:56       -7.264401        0.0296
GPMin:    6 11:37:02       -7.271451        0.0308
GPMin:    7 11:37:07       -7.277518        0.0199
       Step     Time          Energy         fmax
GPMin:    0 11:37:18       -6.888808        0.5074
GPMin:    1 11:37:24       -7.060457        0.1586
GPMin:    2 11:37:30       -7.115736        0.1389
GPMin:    3 11:37:37       -7.168585        0.1196
GPMin:    4 11:37:43       -7.201845        0.0908
GPMin:    5 11:37:49       -7.227789        0.0583
GPMin:    6 11:37:54       -7.238741        0.0305
GPMin:    7 11:37:59       -7.241934        0.0213
GPMin:    8 11:38:04       -7.244289        0.0238
GPMin:    9 11:38:09       -7.247704        0.0263
GPMin:   10 11:38:15       -7.255646        0.0307
GPMin:   11 11:38:21       -7.265226        0.0304
GPMin:   12 11:38:27       -7.273620        0.0269
GPMin:   13 11:38:32       -7.277745        0.0179
       Step     Time          Energy         fmax
GPMin:    0 11:38:44       -6.444162        0.3000
GPMin:    1 11:38:51       -6.666477        0.2516
GPMin:    2 11:38:57       -6.791309        0.2377
GPMin:    3 11:39:04       -6.879275        0.2323
GPMin:    4 11:39:10       -6.955560        0.2248
GPMin:    5 11:39:17       -7.026984        0.2068
GPMin:    6 11:39:22       -7.090255        0.1675
GPMin:    7 11:39:28       -7.148632        0.1006
GPMin:    8 11:39:34       -7.179868        0.1022
GPMin:    9 11:39:39       -7.202343        0.0784
GPMin:   10 11:39:44       -7.220373        0.0686
GPMin:   11 11:39:49       -7.231176        0.0494
GPMin:   12 11:39:54       -7.236825        0.0372
GPMin:   13 11:39:59       -7.240402        0.0312
GPMin:   14 11:40:04       -7.242791        0.0268
GPMin:   15 11:40:09       -7.244703        0.0277
GPMin:   16 11:40:14       -7.247173        0.0289
GPMin:   17 11:40:19       -7.251175        0.0346
GPMin:   18 11:40:25       -7.257877        0.0317
