      Step     Time          Energy         fmax
BFGS:   31 10:21:34       -5.809498        1.1236
BFGS:   32 10:21:34       -5.893536        0.5897
BFGS:   33 10:21:34       -5.939297        0.5531
BFGS:   34 10:21:34       -6.029700        0.8013
BFGS:   35 10:21:34       -6.088165        0.7426
BFGS:   36 10:21:34       -6.138258        0.3462
BFGS:   37 10:21:34       -6.173505        0.4391
BFGS:   38 10:21:34       -6.192540        0.4932
BFGS:   39 10:21:34       -6.205635        0.4454
BFGS:   40 10:21:34       -6.226997        0.4650
BFGS:   41 10:21:34       -6.249218        0.5414
BFGS:   42 10:21:34       -6.289431        0.6365
BFGS:   43 10:21:34       -6.342970        0.6561
BFGS:   44 10:21:34       -6.371400        0.5680
BFGS:   45 10:21:34       -6.409894        0.5719
BFGS:   46 10:21:34       -6.447159        0.4157
BFGS:   47 10:21:34       -6.465919        0.4961
BFGS:   48 10:21:34       -6.491795        0.5633
BFGS:   49 10:21:34       -6.533065        0.7062
BFGS:   50 10:21:34       -6.623582        0.6373
BFGS:   51 10:21:34       -6.731152        0.7268
BFGS:   52 10:21:34       -6.817121        0.7791
BFGS:   53 10:21:34       -6.860333        0.6577
BFGS:   54 10:21:34       -6.883474        0.5258
BFGS:   55 10:21:34       -6.915202        0.8214
BFGS:   56 10:21:34       -6.961864        0.8741
BFGS:   57 10:21:34       -7.029433        0.6860
BFGS:   58 10:21:34       -7.080599        0.4668
BFGS:   59 10:21:34       -7.105608        0.2820
BFGS:   60 10:21:34       -7.112566        0.3247
BFGS:   61 10:21:34       -7.122788        0.3078
BFGS:   62 10:21:34       -7.129209        0.2737
BFGS:   63 10:21:34       -7.136166        0.2084
BFGS:   64 10:21:34       -7.142413        0.1440
BFGS:   65 10:21:34       -7.144450        0.1114
BFGS:   66 10:21:34       -7.145772        0.1201
BFGS:   67 10:21:34       -7.146876        0.1174
BFGS:   68 10:21:34       -7.148898        0.1109
BFGS:   69 10:21:34       -7.151423        0.1166
BFGS:   70 10:21:34       -7.153498        0.1244
BFGS:   71 10:21:34       -7.154674        0.1181
BFGS:   72 10:21:34       -7.155616        0.1052
BFGS:   73 10:21:34       -7.156789        0.0863
BFGS:   74 10:21:34       -7.158058        0.0595
BFGS:   75 10:21:34       -7.158664        0.0391
      Step     Time          Energy         fmax
BFGS:    0 10:21:34       15.588734       31.0757
BFGS:    1 10:21:34        1.118765       13.5167
BFGS:    2 10:21:34       -2.174003        7.0494
BFGS:    3 10:21:34       -3.505781        2.5293
BFGS:    4 10:21:34       -4.040047        1.1682
BFGS:    5 10:21:34       -4.219989        0.6052
BFGS:    6 10:21:34       -4.265541        0.4793
BFGS:    7 10:21:34       -4.282809        0.4814
BFGS:    8 10:21:34       -4.303709        0.4888
BFGS:    9 10:21:34       -4.342786        0.4198
BFGS:   10 10:21:34       -4.390958        0.6299
BFGS:   11 10:21:34       -4.429138        0.9664
BFGS:   12 10:21:34       -4.518584        1.6006
BFGS:   13 10:21:34       -4.595595        1.3643
BFGS:   14 10:21:34       -4.701046        1.2089
BFGS:   15 10:21:34       -4.785445        0.7146
BFGS:   16 10:21:34       -4.819707        0.8965
BFGS:   17 10:21:34       -4.851099        0.7596
BFGS:   18 10:21:34       -5.080241        0.9647
BFGS:   19 10:21:34       -5.238590        1.0270
BFGS:   20 10:21:34       -5.317413        1.0712
BFGS:   21 10:21:34       -5.415007        0.8845
BFGS:   22 10:21:34       -5.447818        0.5998
BFGS:   23 10:21:34       -5.474424        0.4320
BFGS:   24 10:21:34       -5.486586        0.3920
BFGS:   25 10:21:34       -5.510182        0.4559
BFGS:   26 10:21:34       -5.527293        0.4739
BFGS:   27 10:21:34       -5.546451        0.4221
BFGS:   28 10:21:34       -5.559097        0.3267
BFGS:   29 10:21:34       -5.572074        0.2614
BFGS:   30 10:21:34       -5.579613        0.2417
BFGS:   31 10:21:34       -5.583135        0.2506
BFGS:   32 10:21:34       -5.587845        0.2948
BFGS:   33 10:21:34       -5.599494        0.4173
BFGS:   34 10:21:34       -5.651651        0.9374
BFGS:   35 10:21:34       -5.727274        1.4530
BFGS:   36 10:21:34       -5.704600        2.5433
BFGS:   37 10:21:34       -5.788292        1.3339
BFGS:   38 10:21:34       -5.831210        1.2783
BFGS:   39 10:21:34       -5.954370        1.2538
BFGS:   40 10:21:34       -6.060463        0.7971
BFGS:   41 10:21:34       -6.149792        0.5543
BFGS:   42 10:21:34       -6.227508        0.4960
BFGS:   43 10:21:34       -6.241435        0.4795
BFGS:   44 10:21:34       -6.265348        0.4061
BFGS:   45 10:21:34       -6.282416        0.3191
BFGS:   46 10:21:34       -6.293011        0.3460
BFGS:   47 10:21:34       -6.313350        0.3344
BFGS:   48 10:21:34       -6.328475        0.3300
BFGS:   49 10:21:34       -6.359857        0.3553
BFGS:   50 10:21:34       -6.379469        0.3453
BFGS:   51 10:21:34       -6.394719        0.3410
BFGS:   52 10:21:34       -6.405192        0.3654
BFGS:   53 10:21:34       -6.421951        0.4584
BFGS:   54 10:21:34       -6.452884        0.6363
BFGS:   55 10:21:34       -6.525111        0.9175
BFGS:   56 10:21:34       -6.655193        1.1958
BFGS:   57 10:21:34       -6.831988        0.9271
BFGS:   58 10:21:34       -6.880677        1.3884
BFGS:   59 10:21:34       -6.830227        1.9640
BFGS:   60 10:21:34       -7.001664        0.5326
BFGS:   61 10:21:34       -7.027984        0.4839
BFGS:   62 10:21:34       -7.049093        0.4552
BFGS:   63 10:21:34       -7.075042        0.3770
BFGS:   64 10:21:34       -7.108659        0.4539
BFGS:   65 10:21:34       -7.167518        0.8170
BFGS:   66 10:21:34       -7.210108        1.2444
BFGS:   67 10:21:34       -7.250772        0.7799
BFGS:   68 10:21:34       -7.285881        0.6325
BFGS:   69 10:21:34       -7.337774        0.5972
BFGS:   70 10:21:34       -7.366699        0.5598
BFGS:   71 10:21:34       -7.394202        0.5523
BFGS:   72 10:21:34       -7.411581        0.5885
BFGS:   73 10:21:34       -7.440205        0.5915
BFGS:   74 10:21:34       -7.490869        0.6589
BFGS:   75 10:21:34       -7.551176        0.3711
BFGS:   76 10:21:34       -7.573592        0.2718
BFGS:   77 10:21:34       -7.578423        0.1067
BFGS:   78 10:21:34       -7.579775        0.0712
BFGS:   79 10:21:34       -7.580096        0.0639
BFGS:   80 10:21:34       -7.580283        0.0532
BFGS:   81 10:21:34       -7.580564        0.0352
      Step     Time          Energy         fmax
BFGS:    0 10:21:34       15.306359       30.3593
BFGS:    1 10:21:34        0.397589       12.8726
BFGS:    2 10:21:34       -2.481094        8.2185
BFGS:    3 10:21:34       -3.861428        2.6202
BFGS:    4 10:21:34       -4.259874        1.4990
BFGS:    5 10:21:34       -4.462794        0.9915
BFGS:    6 10:21:34       -4.540827        0.8670
BFGS:    7 10:21:34       -4.618608        0.8173
BFGS:    8 10:21:34       -4.745993        0.8456
BFGS:    9 10:21:34       -4.867583        0.7509
BFGS:   10 10:21:34       -4.932551        0.7554
BFGS:   11 10:21:34       -5.041161        2.2774
BFGS:   12 10:21:34       -5.166556        0.7972
BFGS:   13 10:21:34       -5.242373        0.7638
BFGS:   14 10:21:34       -5.612980        1.1047
BFGS:   15 10:21:34       -5.633920        1.8200
BFGS:   16 10:21:34       -5.756609        0.6439
BFGS:   17 10:21:34       -5.788187        0.7008
