       Step     Time          Energy         fmax
GPMin:   28 10:33:12       -5.871933        0.0261
GPMin:   29 10:33:16       -5.872432        0.0201
GPMin:   30 10:33:20       -5.873075        0.0089
       Step     Time          Energy         fmax
GPMin:    0 10:33:29       -3.970151        1.4138
GPMin:    1 10:33:35       -4.951316        0.6887
GPMin:    2 10:33:41       -5.337186        0.3227
GPMin:    3 10:33:47       -5.477082        0.1310
GPMin:    4 10:33:52       -5.503111        0.0477
GPMin:    5 10:33:57       -5.504432        0.0469
GPMin:    6 10:34:03       -5.516644        0.0475
GPMin:    7 10:34:08       -5.522481        0.0490
GPMin:    8 10:34:13       -5.544957        0.1874
GPMin:    9 10:34:19       -5.560547        0.1068
GPMin:   10 10:34:31       -5.565051        0.0693
GPMin:   11 10:34:53       -5.587889        0.0800
GPMin:   12 10:34:58       -5.593192        0.0627
GPMin:   13 10:35:03       -5.604075        0.0628
GPMin:   14 10:35:08       -5.609191        0.0620
GPMin:   15 10:35:15       -5.632834        0.0626
GPMin:   16 10:35:19       -5.643941        0.0716
GPMin:   17 10:35:24       -5.662346        0.0866
GPMin:   18 10:35:29       -5.683055        0.0967
GPMin:   19 10:35:34       -5.707608        0.1015
GPMin:   20 10:35:39       -5.740178        0.0999
GPMin:   21 10:35:44       -5.768959        0.0909
GPMin:   22 10:35:49       -5.804542        0.0857
GPMin:   23 10:35:54       -5.832252        0.0738
GPMin:   24 10:35:59       -5.853500        0.0553
GPMin:   25 10:36:04       -5.863184        0.0396
GPMin:   26 10:36:09       -5.866830        0.0341
GPMin:   27 10:36:14       -5.868793        0.0349
GPMin:   28 10:36:18       -5.870311        0.0251
GPMin:   29 10:36:23       -5.872140        0.0207
GPMin:   30 10:36:27       -5.872408        0.0174
       Step     Time          Energy         fmax
GPMin:    0 10:36:38       -4.130815        1.3548
GPMin:    1 10:36:44       -5.117552        0.6687
GPMin:    2 10:36:50       -5.504046        0.3112
GPMin:    3 10:36:55       -5.639603        0.1063
GPMin:    4 10:37:00       -5.660146        0.0124
       Step     Time          Energy         fmax
GPMin:    0 10:37:09       -3.970158        1.4108
GPMin:    1 10:37:16       -4.952211        0.6829
GPMin:    2 10:37:22       -5.338289        0.3195
GPMin:    3 10:37:28       -5.478358        0.1327
GPMin:    4 10:37:33       -5.504212        0.0513
GPMin:    5 10:37:38       -5.505722        0.0464
GPMin:    6 10:37:43       -5.517555        0.0471
GPMin:    7 10:37:48       -5.523390        0.0473
GPMin:    8 10:37:54       -5.549114        0.2048
GPMin:    9 10:37:59       -5.568048        0.1010
GPMin:   10 10:38:11       -5.574172        0.0619
GPMin:   11 10:38:22       -5.603323        0.0748
GPMin:   12 10:38:27       -5.608583        0.0767
GPMin:   13 10:38:32       -5.621387        0.0719
